aggregate_episodes,aggregate_success_percent,aggregate_successes,checkpoint_exists,description,diag_app_aug_sensitivity,diag_app_nuisance_probe_mse,diag_appearance_nuisance_head_mse,diag_dynamics_nuisance_head_mse,diag_emb_app_cross_cov,diag_emb_aug_sensitivity,diag_emb_nuisance_probe_mse,diag_has_app_emb,output_model_name,output_suffix,seed42_episodes,seed42_success_rate,seed42_successes,seed43_episodes,seed43_success_rate,seed43_successes,stage,train_seed,variant_id
100,6.0,6,True,Baseline LeWM single dynamics latent.,,,,,,,,False,lewm_pusht_reliable,,50,4.0,2,50,8.0,4,stage1,,baseline
100,10.0,10,True,Current v1: appearance projector + invariance + independence.,0.0005515460507012904,0.1858343631029129,,,0.0845789909362793,0.05161087214946747,0.08192730695009232,True,aflewm_pusht_v1_reliable,,50,10.0,5,50,10.0,5,stage1,,v1_current
100,2.0,2,True,v1 without cross-cov independence.,0.0006731196772307158,0.18396227061748505,,,0.07689807564020157,0.048463381826877594,0.09771999716758728,True,aflewm_pusht_v1_inv_only,,50,2.0,1,50,2.0,1,stage1,,v1_inv_only
100,5.0,5,True,v1 without augmentation invariance.,0.0006650529685430229,0.16197705268859863,,,0.07593003660440445,0.06301846355199814,0.09907785058021545,True,aflewm_pusht_v1_indep_only,,50,2.0,1,50,8.0,4,stage1,,v1_indep_only
100,5.0,5,True,v1 with sequence-consistent appearance augmentations.,0.0007361723110079765,0.2053634375333786,,,0.07867754250764847,0.04705646634101868,0.10107357054948807,True,aflewm_pusht_v1_seq_only,,50,4.0,2,50,6.0,3,stage1,,v1_seq_only
100,3.0,3,True,v1 with sequence-consistent augmentations and stop-grad invariance target.,0.0004953845636919141,0.22151100635528564,,,0.07350031286478043,0.04817633703351021,0.11603939533233643,True,aflewm_pusht_v1_seq_stopgrad,,50,2.0,1,50,4.0,2,stage1,,v1_seq_stopgrad
100,8.0,8,True,v2 without dynamics-side adversarial nuisance loss.,0.03437023609876633,0.13274097442626953,0.16672974824905396,,0.40104255080223083,0.03389962017536163,2.5446033477783203,True,aflewm_pusht_v2_app_nuisance_only,,50,6.0,3,50,10.0,5,stage1,,v2_app_nuisance_only
100,6.0,6,True,v2 with lighter dynamics nuisance pressure.,0.033318620175123215,0.1698097586631775,0.18799224495887756,0.623461127281189,0.21073313057422638,0.07427804917097092,31.987606048583984,True,aflewm_pusht_v2_weak_grl,,50,2.0,1,50,10.0,5,stage1,,v2_weak_grl
100,5.0,5,True,Current v2: sequence-consistent nuisance shaping + full GRL.,0.002478546928614378,0.17909149825572968,0.2267361581325531,0.6775329113006592,0.1090807318687439,0.0691111609339714,0.10362627357244492,True,aflewm_pusht_v2_reliable,,50,2.0,1,50,8.0,4,stage1,,v2_current
100,6.0,6,True,Current v2 with GRL lambda linearly warmed over the first 30% of training steps.,0.009136310778558254,0.13417372107505798,0.20676283538341522,0.7872260808944702,0.268801212310791,0.07733433693647385,1.1061521768569946,True,aflewm_pusht_v2_grl_warmup,,50,8.0,4,50,4.0,2,stage1,,v2_grl_warmup
